------------ PCB NO.: 13269-1
------------ ITEM   : 455.00G01.M006
------------ Model  : CEDAR14_H PILOT MB #6 S
 
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM3
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM2
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM1
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM4
78.10523.5FL                          CHIP CAP C 1U 10V K0402 X5R              55   C2703
78.10523.5FL                          CHIP CAP C 1U 10V K0402 X5R              55   C2704
78.10523.5FL                          CHIP CAP C 1U 10V K0402 X5R              55   C3015
78.10523.5FL                          CHIP CAP C 1U 10V K0402 X5R              55   C3018
78.10594.41L                          CHIP CAP C 1U 50V Z0805 Y5V              1    PC4201
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7327
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7328
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7604
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7732
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7813
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7815
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   PC4916
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   PC8303
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   PC8307
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7325
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7326
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7323
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7322
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7321
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C7320
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C2713
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C2712
78.10610.5BL                          CHIP CAP C 10U 6.3V M0603 X5R            18   C2123
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC4417
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC4415
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC4406
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC4206
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC4703
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC8210
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC4701
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC8224
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC4527
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC8215
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC8214
78.10622.51L                          CHIP CAP C 10U 25V K0805 X5R             12   PC4702
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   PC4723
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C7920
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C7918
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C5803
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C5610
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C3605
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C3603
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C1209
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C1003
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C1002
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C1001
78.10623.51L                          CHIP CAP 10U10V K0805 X5R(ROHS           12   C7517
78.15034.1FL                          CHIP CAP C 15P 50V J0402 NPO             6    C3001
78.15034.1FL                          CHIP CAP C 15P 50V J0402 NPO             6    C1904
78.15034.1FL                          CHIP CAP C 15P 50V J0402 NPO             6    C1903
78.15034.1FL                          CHIP CAP C 15P 50V J0402 NPO             6    C1802
78.15034.1FL                          CHIP CAP C 15P 50V J0402 NPO             6    C1801
78.15034.1FL                          CHIP CAP C 15P 50V J0402 NPO             6    C3011
78.18034.1FL                          CHIP CAP C 18P 50V J0402 NP0             1    C7607
78.22034.1FL                          CHIP CAP 22P50V J0402 NPO(ROHS           1    C7608
78.22134.1FL                          CHIP CAP C 220P 50V J0402 NPO            1    PC4422
78.22224.2FL                          CHIP CAP 2200P50V K0402 X7R(RO           1    C8316
78.22321.2FL                          CHIP CAP 0.022U 16V K0402 X7R            2    C3702
78.22321.2FL                          CHIP CAP 0.022U 16V K0402 X7R            2    C3701
78.22422.2BL                          CHIP C 0.22U25V K0603 X7R T1.0           1    PC4706
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    C7302
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    C7308
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    C7307
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    C7306
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    C7305
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    PC4918
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    C7301
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    C7303
78.22423.5FL                          CHIP CAP C 0.22U 10V K0402 X5R           9    C7304
78.22510.5FL                          CHIP CAP C 2.2U 6.3V M0402 X5R           4    C7606
78.22510.5FL                          CHIP CAP C 2.2U 6.3V M0402 X5R           4    C1017
78.22510.5FL                          CHIP CAP C 2.2U 6.3V M0402 X5R           4    C1018
78.22510.5FL                          CHIP CAP C 2.2U 6.3V M0402 X5R           4    C2705
78.22523.5BL                          CHIP CAP 2.2U 10V K 0603 X5R             1    C2411
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4925
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C3509
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C3512
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C3513
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C3514
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C3515
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C3516
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C7518
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C7520
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   C7717
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4717
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4718
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4719
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4720
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4721
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4724
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4725
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4726
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4730
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4731
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4732
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4733
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4734
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4736
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4739
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4740
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4741
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4742
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4744
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4923
78.22610.51L                          CHIP CAP C 22U 6.3V M0805 X5R            31   PC4924
78.27224.2FL                          CHIP CAP C 2700P 50V K0402 X7R           2    C7609
78.27224.2FL                          CHIP CAP C 2700P 50V K0402 X7R           2    PC8223
78.47034.1FL                          CHIP CAP C 47P 50V J0402 NPO             1    PC8219
78.47124.2FL                          CHIP CAP 470P50V K0402 X7R(ROH           3    C8305
78.47124.2FL                          CHIP CAP 470P50V K0402 X7R(ROH           3    C3602
78.47124.2FL                          CHIP CAP 470P50V K0402 X7R(ROH           3    C3601
78.47322.2FL                          CHIP CAP C 0.047U 25V K0402 X7           2    PC4411
78.47322.2FL                          CHIP CAP C 0.047U 25V K0402 X7           2    PC4707
78.47420.5FL                          CHIP CAP C 0.47U 6.3V K0402 X5           2    C2101
78.47420.5FL                          CHIP CAP C 0.47U 6.3V K0402 X5           2    PC4210
78.47422.5BL                          CHIP CAP 0.47U 25V K0603 X5R             1    PC4010
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2611
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   PC4526
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7730
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7726
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7725
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7724
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7723
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7721
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7719
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7709
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7708
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7703
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7702
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7701
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7514
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2701
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2702
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2706
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2708
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2711
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2715
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2716
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2718
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2907
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C2908
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C5204
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C5207
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7309
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7310
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7315
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7317
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7324
78.47520.5BL                          CHIP CAP C 4.7U 6.3V K0603 X5R           33   C7513
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC8212
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC8209
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC8208
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC4408
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC8213
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC4914
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC4911
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC4909
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC4814
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC4529
78.47522.51L                          CHIP CAP C 4.7U 25V K0805 X5R            11   PC4509
78.47610.51L                          CHIP CAP C 47U 6.3V M0805 X5R            1    C7710
78.68224.2BL                          CHIP CAP 6800P 50V K0603 X7R             1    PC4611
78.82124.2FL                          CHIP CAP C 820P 50V K0402 X7R            2    C7902
78.82124.2FL                          CHIP CAP C 820P 50V K0402 X7R            2    C7803
79.22710.3KL                          CHIP CAP EL 220U 6.3V M6.3*4.4           2    PT4501
79.22710.3KL                          CHIP CAP EL 220U 6.3V M6.3*4.4           2    PT4502
79.3371V.6CL                          CHIP CAP EL 330U 2.5V M6.3*4.4           4    PT8208
79.3371V.6CL                          CHIP CAP EL 330U 2.5V M6.3*4.4           4    PT8206
79.3371V.6CL                          CHIP CAP EL 330U 2.5V M6.3*4.4           4    PT4803
79.3371V.6CL                          CHIP CAP EL 330U 2.5V M6.3*4.4           4    PT8207
82.30001.841                          XTAL 32.768K 12.5P10PPM MC-146           1    X1901
82.30004.841                          XTAL 24MHZ 12PF 20PPM HCX-3FB SMD        1    X1801
82.30020.G71                          XTAL 25MHZ 12PF 20PPM HCX-3FB SMD        1    X3001
82.30034.641                          XTAL 27M 12P10PPM HCX-3SB SMD            1    X7601
83.00016.K11                          DIODE SW BAS16 SOT-23 YEASHIN            1    D3602
83.00056.Q11                          DIODE SW BAW56 70V SOT23                 1    D5401
83.00400.C1F                          DIODE SW 1SS400GPT 90V SOD-723           1    D7602
83.1R504.A8F                          DIODE S.B SD103AWS SOD323 40V            1    PD4401
83.P6SBM.AAG                          DIODE TVS P6SBMJ24APT SMB                1    PD4201
83.R2004.H8F                          DIODE S.B RB751V-40-H SOD-323            1    D2401
84.00124.H1K                          XTOR PDTC124EU NPN SOT323                1    PQ4204
84.00124.K1K                          XTOR PDTA124EU PNP SOT323                1    PQ4205
84.00144.N11                          XTOR DDTA144VCA-7-F PNP SOT-23           3    Q6104
84.00144.N11                          XTOR DDTA144VCA-7-F PNP SOT-23           3    Q6103
84.00144.N11                          XTOR DDTA144VCA-7-F PNP SOT-23           3    Q6201
84.02130.031                          FET MOS DMP2130L-7 PC SOT-23             4    Q2402
84.02130.031                          FET MOS DMP2130L-7 PC SOT-23             4    Q3004
84.02130.031                          FET MOS DMP2130L-7 PC SOT-23             4    Q8302
84.02130.031                          FET MOS DMP2130L-7 PC SOT-23             4    Q6203
84.02222.V11                          XTOR MMBT2222A NPN SOT-23                1    Q3602
84.03404.C31                          FET MOS DMN3404L-7 NC SOT-23             1    Q6202
84.05067.031                          FET MOS DMN5L06K-7 NC SOT-23 3P          2    PQ4201
84.05067.031                          FET MOS DMN5L06K-7 NC SOT-23 3P          2    Q1201
84.08062.037@0AB     4ZA.00G01.0002   FET MOS TPCA8062-H NC 2-5Q1S 8P          4    PU8209
84.08062.037@0AB     4ZA.00G01.0002   FET MOS TPCA8062-H NC 2-5Q1S 8P          4    PU8207
84.08062.037@0AB     4ZA.00G01.0002   FET MOS TPCA8062-H NC 2-5Q1S 8P          4    PU8205
84.08062.037@0AB     4ZA.00G01.0002   FET MOS TPCA8062-H NC 2-5Q1S 8P          4    PU8203
84.08064.A37@0AB     4ZA.00G01.0002   FET MOS TPCA8064-H NC 2-5Q1S 8P          2    PU8208
84.08064.A37@0AB     4ZA.00G01.0002   FET MOS TPCA8064-H NC 2-5Q1S 8P          2    PU8204
84.08065.B37@0AD     4ZA.00G01.0004   FET MOS TPCC8065-H NC 8P                 2    PU4903
84.08065.B37@0AD     4ZA.00G01.0004   FET MOS TPCC8065-H NC 8P                 2    PU4502
84.08067.A37@0AD     4ZA.00G01.0004   FET MOS TPCC8067-H NC 2-3X1S 8P          8    PU4405
84.08067.A37@0AD     4ZA.00G01.0004   FET MOS TPCC8067-H NC 2-3X1S 8P          8    PU4902
84.08067.A37@0AD     4ZA.00G01.0004   FET MOS TPCC8067-H NC 2-3X1S 8P          8    PU4808
84.08067.A37@0AD     4ZA.00G01.0004   FET MOS TPCC8067-H NC 2-3X1S 8P          8    PU4805
84.08067.A37@0AD     4ZA.00G01.0004   FET MOS TPCC8067-H NC 2-3X1S 8P          8    PU4406
84.08067.A37@0AD     4ZA.00G01.0004   FET MOS TPCC8067-H NC 2-3X1S 8P          8    PU4504
84.08067.A37@0AD     4ZA.00G01.0004   FET MOS TPCC8067-H NC 2-3X1S 8P          8    PU4505
84.08067.A37@0AD     4ZA.00G01.0004   FET MOS TPCC8067-H NC 2-3X1S 8P          8    PU4501
84.08131.037                          FET MOS TPCC8131 PC 2-3X1S 8P            3    PU4403
84.08131.037                          FET MOS TPCC8131 PC 2-3X1S 8P            3    PU4402
84.08131.037                          FET MOS TPCC8131 PC 2-3X1S 8P            3    PU4201
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   PQ4408
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   PQ4407
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   PQ4402
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   PQ4206
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   PQ4203
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   Q7601
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   Q5402
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   Q7602
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   PQ8304
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   Q1801
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   Q1701
84.2N702.A3F                          FET MOS 2N7002KDW NC SOT-363 ESD 2KV     12   PQ8305
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   PQ4208
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   PQ8306
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q8301
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q7606
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q7301
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q5403
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q3001
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q2505
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q2403
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   PQ8307
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q1901
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q2401
84.2N702.J31                          FET MOS 2N7002K NC SOT-23 ESD 2KV 300MA  13   Q1202
84.SRA06.037                          FET MOS SIRA06DP-T1-GE3 NC POWERPAK SO-8 1    PQ8308
84.T3904.H11                          XTOR LMBT3904LT1G NPN SOT-23             2    Q5401
84.T3904.H11                          XTOR LMBT3904LT1G NPN SOT-23             2    PQ4202
84.T3906.E11                          XTOR LMBT3906LT1G PNP SOT-23             1    Q2404
PXP79                                 IC VGA N15S-GT-S-A2 GB2-64 FCBGA595      1    GPU1
R62JF                                 PRC,HSW,I7-4510U,2.0,15W,4M,D0           1    CPU1
