------------ PCB NO.: 13269-1
------------ ITEM   : 455.00G01.M006
------------ Model  : CEDAR14_H PILOT MB #6 S
 
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM3
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM2
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM1
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM4
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4218
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4403
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4417
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4419
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4430
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR4434
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR8203
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR8311
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   PR8313
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R1727
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R2007
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R2426
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R2447
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R2711
63.10434.1DL                          CHIP RES 100K J 1/16W 0402               24   R3023
63.10534.1DL                          CHIP RES 1M J 1/16W 0402                 3    R8305
63.10534.1DL                          CHIP RES 1M J 1/16W 0402                 3    R1802
63.10534.1DL                          CHIP RES 1M J 1/16W 0402                 3    R1901
63.10634.1DL                          CHIP RES 10M J 1/16W 0402                2    R1915
63.10634.1DL                          CHIP RES 10M J 1/16W 0402                2    R2504
63.15134.1DL                          CHIP RES 150 J 1/16W 0402                5    R5417
63.15134.1DL                          CHIP RES 150 J 1/16W 0402                5    R5416
63.15134.1DL                          CHIP RES 150 J 1/16W 0402                5    R5415
63.15134.1DL                          CHIP RES 150 J 1/16W 0402                5    R5414
63.15134.1DL                          CHIP RES 150 J 1/16W 0402                5    R705
63.15334.1DL                          CHIP RES 15K J 1/16W 0402                1    R3015
63.1R534.15L                          CHIP RES 1.5 J 1/10W 0603                2    PR4524
63.1R534.15L                          CHIP RES 1.5 J 1/10W 0603                2    PR4528
63.20334.1DL                          CHIP RES 20K J 1/16W 0402                1    R3022
63.22234.1DL                          CHIP RES 2.2K J 1/16W 0402               2    PR4204
63.22234.1DL                          CHIP RES 2.2K J 1/16W 0402               2    R3605
63.22434.1DL                          CHIP RES 220K J 1/16W 0402               1    R1208
63.24434.15L                          CHIP RES 240K J 1/10W 0603               1    PR4207
63.2R233.15L                          CHIP RES 2.2 J 1/10W 0603                1    PR8223
63.30231.16L                          CHIP RES 3K J 1/8W 0805                  1    PR4404
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    R1912
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    R2419
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    R2420
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    R2422
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    R2423
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    PR4205
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    R1805
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    R1806
63.33034.1DL                          CHIP RES 33 J 1/16W 0402                 9    R1907
63.33134.1DL                          CHIP RES 330 J 1/16W 0402                1    R6101
